2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,2
1,0,10,0,0,0,0,0,0,0,10,0,0,1,20,1,28,29,1,20,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,38,39,4,4,4,0,10,0,1
1,6,16,2,0,0,2,3,3,2,0,2,0,0,12,0,0,0,0,12,0,0,0,0,1
1,0,0,1,0,0,1,11,10,1,0,1,0,0,22,0,0,0,0,22,0,0,0,0,1
1,8,0,1,2,2,1,21,8,1,0,1,3,3,3,3,3,3,3,3,3,3,0,0,1
1,8,3,1,1,20,1,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,0,1,13,1,23,10,8,1,0,1,6,0,0,0,0,0,0,0,0,0,16,3,1
1,8,0,1,16,4,6,8,8,1,0,1,14,0,3,3,3,0,0,0,18,0,0,0,1
1,3,0,4,0,0,0,8,2,1,0,1,24,14,0,0,0,0,0,0,0,0,0,0,1
1,6,0,0,0,0,0,8,1,1,0,1,24,24,8,0,0,0,3,0,0,0,3,0,1
1,0,10,0,0,0,0,8,1,23,0,13,2,2,8,14,0,0,0,0,0,0,0,0,1
1,0,0,0,8,2,2,2,23,0,9,0,13,1,8,24,8,0,0,0,0,0,0,0,1
1,0,0,0,8,1,1,23,0,0,19,0,0,13,2,2,8,0,0,0,0,0,0,0,1
1,0,0,0,8,1,23,0,0,0,0,0,0,0,13,1,8,0,0,0,0,0,0,0,1
1,0,0,2,2,23,0,0,10,0,0,0,10,0,0,13,2,2,2,0,3,3,3,3,1
1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,1
1,1,1,23,0,10,0,0,0,0,0,0,0,0,0,10,0,13,1,0,0,14,0,16,1
1,1,23,0,0,0,0,0,0,16,3,6,0,0,0,0,0,0,13,2,25,24,27,0,1
1,23,0,0,0,16,3,6,0,0,0,0,0,16,3,6,0,0,0,13,3,3,3,0,1
1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
